,番号,jRCT登録ID番号https://jrct.niph.go.jp,先進医療技術名,適応症,技術の概要
K,1,jRCTs031180141,パクリタキセル静脈内投与（一週間に一回投与するものに限る。）及びカルボプラチン腹腔内投与（三週間に一回投与するものに限る。）の併用療法,上皮性卵巣がん、卵管がん又は原発性腹膜がん,"局所麻酔または硬膜外麻酔下の小開腹を行い、腹腔ポートを留置する。このポートより、カルボプラチンを腹腔内に直接投与する。また、全身化学療法としてパクリタキセル経静脈内投与を併用する。
  この化学療法は21日間を1コースとして行い、パクリタキセルは第1日目、第8日目及び第15日目に標準量（80mg/m2 ）を経静脈投与、カルボプラチンを第1日目に標準量（※AUC6 (mg/L)・h）を腹腔内投与し、計6コースを行う。※AUC : area under the blood concentration time curve(薬物血中濃度－時間曲線下面積)"
K,2,,,-,-
K,3,jRCTs041180023,ペメトレキセド静脈内投与及びシスプラチン静脈内投与の併用療法,肺がん（扁平上皮肺がん及び小細胞肺がんを除き、病理学的見地から完全に切除されたと判断されるものに限る。）,PEM+CDDP併用療法は、1日目にPEMは500mg/m2とCDDPは75 mg/m2を投与し、3週毎に4回投与する。進行非扁平上皮非小細胞肺癌に対する有効性、および安全性が確立した治療であり、さらには術後補助化学療法としても期待されている治療法である。
K,4,jRCTs022180029,コレステロール塞栓症に対する血液浄化療法,コレステロール塞栓症,動脈硬化性プラークの破綻によりコレステロール結晶が飛散し、末梢小動脈を塞栓し、他臓器に重篤な障害が発生するコレステロール塞栓症のうち、血管内操作および血管外科的手術が誘発因子となり、腎機能障害を示した患者を対象とし、リポソーバーLA－15を用いた血液浄化療法と薬物治療の併用により、腎機能を改善させられるかを検証する。
K,5,"jRCTc030190194
",NKT細胞を用いた免疫療法,頭頸部扁平上皮がん（診断時のステージがIV期であって、初回治療として計画された一連の治療後の完全奏功の判定から八週間以内の症例（当該期間内に他の治療を実施していないものに限る。）に限る。）,標準治療終了後の頭頸部扁平上皮がんを適応症とした、末梢血単核球由来の培養細胞にNKT 細胞特異的リガントを提示させて鼻粘膜に投与し、内在性NKT 細胞を活性化させ抗腫瘍効果を得る新規の免疫細胞治療である。
K,6,,C型肝炎ウイルスに起因する肝硬変に対する自己骨髄細胞投与療法,C型肝炎ウイルスに起因する肝硬変（Child－Pugh分類による点数が七点以上のものであって、従来の治療法（肝移植術を除く。）ではその治療に係る効果が認められないものに限る。）,全身麻酔下で患者の腸骨より骨髄液を約400ml採取の上、骨髄採取キットにより骨片を除去し（血液疾患の骨髄移植に準じて）、無菌的に単核球分画の分離精製を行い、末梢静脈から約2-3時間かけて投与する。
K,7,jRCTs032180229,経皮的乳がんラジオ波焼灼療法,早期乳がん（長径が一・五センチメートル以下のものに限る。）,全身麻酔導入後、通常は、RFA治療前にセンチネルリンパ節生検を施行する。RFAの手技はUSで腫瘍を確認し穿刺部位を決定したのち、穿刺予定部位を消毒、局所麻酔を行なう。US画像をガイドとして電極針を腫瘍に刺入して、ジェネレーターというラジオ波発生装置に接続し、通電を開始する。1回の通電につき通常10分前後でインピーダンスが上昇し、通電完了する。通電終了後は電極針を抜去する。USを再度撮像し、治療効果および合併症の有無を観察し、治療終了となる。治療時間は検査、準備も含めて約20分である。RFA施行後、数週間後より通常の乳房照射を追加し局所治療を終了する
K,8,jRCTs031180169,インターフェロンα皮下投与及びジドブジン経口投与の併用療法,成人T細胞白血病リンパ腫（症候を有するくすぶり型又は予後不良因子を有さない慢性型のものに限る。）,くすぶり型と慢性型成人T 細胞白血病リンパ腫（ATL）に対してIFNα/AZT 療法群とWatchful waiting群の2群に無作為割り付けを実施。主要評価項目として無イベント生存期間を両群で比較する多施設共同無作為割り付け試験。組み込み予定症例は片群37例、両群74例。登録期間3年、追跡期間2年、総試験期間5年である。IFNα/AZT 療法群に割りつけられた症例には、レトロビル®カプセル（600 mg）を連日経口投与する。また、IFNαとしてスミフェロン®注DS 300万単位を1サイクル目には1日1回連日皮下投与し、day8から600万単位に増量する。2サイクル目以降はday1から600万単位を投与する。1治療サイクルを28日（4週）とし、 第4治療サイクルからはレトロビル®カプセル（400 mg）を連日経口投与、スミフェロン®注DS 300万単位を連日皮下投与に減量する。当初10日間入院し、以後外来治療を増悪または毒性中止まで継続する。この間、2週毎に外来受診し、日和見感染予防薬の連日内服と定期的な診察と血液/画像検査を行う。
K,9,jRCTs031180432,腹腔鏡下センチネルリンパ節生検,早期胃がん,本試験は術前診断T1N0M0、腫瘍長径4cm以下と診断された単発性の早期胃癌症例を対象として、「SNをLN転移の指標とした個別化手術群」を行い、その根治性・安全性を検証する第II相多施設共同単群試験である。すべての症例にSN生検を行い、術中SN転移陰性の場合にはSN流域切除を原則とした縮小胃切除（噴門側胃切除、幽門保存胃切除、胃部分切除、分節切除）を行って「縮小手術群」（A群）とする。流域切除範囲によって縮小手術が困難な場合には従来通りの胃切除術（幽門側胃切除術・胃全摘術）（B群）を実施する。また、SN転移が陽性の場合にはD2LN郭清と定型胃切除（幽門側胃切除術・胃全摘術）（C群）を行う。Primary Endpointは5年無再発生存割合、Secondary EndpointsはSN同定率、転移検出感度、3年無再発生存割合、3年・5年全生存割合、術後QOLとする。Primary Endpointすなわち個別化手術の根治性・安全性の評価は、本試験登録A～C群（個別化手術群）の手術成績とこれまで報告されてきた同じ早期胃癌に対する手術成績を比較し、A群のみの部分集団での予後についてもSecondary Endpontとして同時に検証する。術後QOLに関しては「個別化手術群」内での比較も行う。
K,10,,,-,-
K,11,,,-,-
K,12,jRCTs071180052,全身性エリテマトーデスに対する初回副腎皮質ホルモン治療におけるクロピドグレル硫酸塩、ピタバスタチンカルシウム及びトコフェロール酢酸エステル併用投与の大腿骨頭壊死発症抑制療法,全身性エリテマトーデス（初回の副腎皮質ホルモン治療を行っている者に係るものに限る。）,全身性エリテマトーデス患者を対象に、初回ステロイド治療開始と同時に、抗血小板薬（クロピドグレル硫酸塩）、高脂血症治療剤（ピタバスタチンカルシウム）、ビタミンE（トコフェロール酢酸エステル）の3剤を3ヶ月間併用投与することによる大腿骨頭壊死の発生抑制効果を検討する多施設共同単群介入試験である。主要評価項目は治療開始6ヶ月後のMRIによる両股関節の大腿骨頭壊死症発生の有無である。予定組み込み症例は150例。ヒストリカルコントロールを比較対照とし、統計学的有意差をもって大腿骨頭壊死症発生率が低下した場合、本介入が有効であると判断する。
K,13,"jRCTc040190130
",NKT細胞を用いた免疫療法　,肺がん（小細胞肺がんを除き、ステージがIIA期、IIB期又はIIIA期であって、肉眼による観察及び病理学的見地から完全に切除されたと判断されるものに限る。）,　原発性肺がんは年間死亡者数が7万人を超えて更に増加傾向であり，その大半を占める進行期症例は化学療法により治療されるものの治癒は困難である。完全切除後肺がんに用いられる補助化学療法としての抗がん剤には，シスプラチン，ビノレルビンなどが用いられ，再発死亡率を減少させることが証明されているが，それは10～20%程度と不充分である。NKT細胞は特異的リガンドであるαガラクトシルセラミドにより活性化すると強力な抗腫瘍効果を示すと同時に，他の免疫担当細胞を活性化するアジュバント効果を示し，抗腫瘍効果を発揮する。体内NKT細胞の活性化を誘導するために，末梢血から成分採血で単核球を採取して1～2週間培養を行い，樹状細胞を誘導する。投与前にαガラクトシルセラミドを樹状細胞に提示させ，本人の静脈内へ培養1週目と2週目に点滴投与する。投与されたαガラクトシルセラミド提示細胞が体内NKT細胞を活性化し，抗腫瘍効果を発揮する。進行期または再発非小細胞肺がん患者に対して，本治療法を開発した千葉大学において2001年以降，24例の臨床試験の報告がなされている。本試験の目的は，II-IIIA期非小細胞肺がん完全切除例で，術後補助化学療法後にαガラクトシルセラミドパルス樹状細胞を用いた免疫療法の有無で2群にランダム化する第II相試験を行い，無再発生存期間を主要評価項目として，その有効性，安全性を検討し，新たな治療の選択法を開発することである。予定組み込み症例は片群28例、両群56例である。総試験期間は5年を予定している。
K,14,jRCTs031180254,腹膜偽粘液腫に対する完全減量切除術における術中のマイトマイシンＣ腹腔内投与及び術後のフルオロウラシル腹腔内投与の併用療法　,腹膜偽粘液腫（画像検査により肝転移及びリンパ節転移が認められないものであって、放射線治療を行っていないものに限る。）,腹膜偽粘液腫の患者を対象に、CRS（右壁側腹膜切除、右半結腸切除、左壁側腹膜切除、骨盤腹膜切除、低位前方切除、子宮・付属品切除、右横隔膜下腹膜切除、肝被膜切除、胆摘、左横隔膜下腹膜切除、大網切除、脾摘、小網切除、胃切除等の組み合わせ）を行う。残存病変の大きさが2.5mm以下となった場合を完全減量切除とする。完全減量切除が達成できた症例に、MMC10mg/m2を2000～3000mLの41℃～42℃の温生食に溶解し、高温を維持したまま1時間腹腔内に還流させる（HIPEC）。HIPEC終了後閉腹する。術翌日より、腹腔内に5-FU15mg/kg/NS1000mLを腹腔内に投与し、24時間毎に薬剤の入れ替えを行う。これを4日間連続で繰り返す。本治療法終了後は、5年間経過観察を行い、5年生存割合を主要エンドポイントとする、その他、無再発生存期間、無病生存期間、全生存期間を推定する。安全性はプロトコール治療終了後30日後まで、有害事象の収集を行い、CTCAEｖ3.0に従ってGrade判定を行う。
K,15,jRCTs031180006,術前のS-1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法,切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),HER2過剰発現が確認された高度リンパ節転移を有する胃癌に対するトラスツズマブ併用術前化学療法（S-1+CDDP+トラスツズマブ併用療法）が、術前化学療法（S-1+CDDP併用療法）に対してprimary endpointである全生存期間において有意に上回るかどうかを判断する。
K,16,jRCTs051180081,リツキシマブ点滴注射後におけるミコフェノール酸モフェチル経口投与による寛解維持療法,特発性ネフローゼ症候群（当該疾病の症状が発症した時点における年齢が十八歳未満の患者に係るものであって、難治性頻回再発型又はステロイド依存性のものに限る。）,"小児期発症難治性頻回再発型/ステロイド依存性ネフローゼ症候群の患者を対象としたミコフェノール酸モフェチル（MMF）の臨床試験である。リツキシマブを点滴注射した後にMMFを内服する場合に、プラセボを内服する場合と比べて、寛解を維持する効果（再発を抑制する効果）が高くなるか、安全に使えるかを評価する。【この試験で行う治療】[1]リツキシマブの点滴注射リツキシマブ375mg/m2/回（最大量500mg/回）を1日1回、約4時間かけて点滴注射する。これを1週間間隔で4回繰り返す。1回目の点滴注射は入院して行う。点滴注射は、遅い速度からはじめて、状態を観察しながら、少しずつ点滴速度を速くする。1回目の点滴注射時に副作用（薬による好ましくない作用）がみられなかった場合（もしくは軽度の場合）、2回目以降は外来で行うことができる。[2]ミコフェノール酸モフェチルもしくはプラセボミコフェノール酸モフェチルもしくはプラセボは、リツキシマブの点滴注射後の決められた時期に開始する。毎日、1,000～1,200 mg/m2/日（最大量2g/日）1日2回（食後）17ヵ月間服用する。病気の状態や副作用の出かたにより内服する量を調整することがある。"
K,17,jRCTs051180052,周術期カルペリチド静脈内投与による再発抑制療法,非小細胞肺がん（CT撮影により非浸潤がんと診断されたものを除く。）,現在、本邦では、肺癌は悪性腫瘍による死因の第一位である。非小細胞肺癌完全切除例に対する手術療法はすでに確立された治療法であるが、根治術を施行できても約半数に再発を認めているのが現状である。周術期に転移再発抑制を講じる治療法は未だ確立されていない。一方、これまでの臨床研究から、ヒト心房性ナトリウム利尿ぺプチド(hANP) の周術期投与は非小細胞肺癌の術後再発を抑制する有望な治療法である可能性が示唆されている。そこで、肺癌手術の術後再発抑制としての hANP の有用性をランダム化比較試験で評価することを目的に、術後2 年無再発生存期間を主要評価項目とした臨床試験を計画した。
K,18,jRCTs052180065,コラーゲン半月板補填材を用いた半月板修復療法　,半月板損傷（関節鏡検査により半月板の欠損を有すると診断された患者に係るものに限る。）,現在、半月板損傷に対する有効な薬剤はなく、外科的な修復術にも限界がある。修復不能な損傷に対し切除術が行われ、一時的な疼痛緩和が得られるが、中長期的には関節に力学的負荷を増大し変形性関節症を発症する。以上のことから、新たな半月板補填材の開発が必要であると考えられる。本技術では生体適合性の高いコラーゲンを用いて、半月板と同等の強度を有するコラーゲン半月板補填材を作成し、これを補填材として用いて修復する。対象疾患：欠損を伴う半月板損傷手技：コラーゲン半月板補填材を用いた半月板修復術1） 本登録前に関節鏡視下で、半月板の損傷形態を確認する。2） 本登録されたのを確認した後、試験物を半月板の欠損に合う形に形成する。3） 試験物を半月板欠損部に補填後、半月板を縫合する。4） 試験物の補填後、術翌日から24週間、リハビリテーションを実施する。
K,19,jRCTs032180100,LDLアフェレシス療法,閉塞性動脈硬化症（薬物療法に抵抗性を有するものであり、かつ、血行再建術及び血管内治療が困難なものであって、フォンタン分類IIB度以上のものに限る。）,現在までの研究成果により、デキストラン硫酸カラム吸着法によるLDLアフェレシス療法が、慢性腎不全に合併した従来治療抵抗性の高コレステロール血症を伴わない閉塞性動脈硬化症に対し、酸化ストレスの抑制、血管内皮特異的NO合成酵素の活性化を伴う血管内皮細胞の機能改善を介し持続的に臨床症状を改善させることが明らかになっている。そこで、本療法では、20歳以上80歳未満の閉塞性動脈硬化症患者のうち、Fontaine分類IIB度以上の症状を有し、血中総コレステロール値220 mg/dL以下、かつLDLコレステロール値 140 mg/dL以下の正コレステロール血症の者であって、膝窩動脈以下の閉塞又は広範な閉塞部位を有する等、血管内治療や血管外科的治療による血行再建が困難で、かつ従来の薬物療法では十分な効果を得られない従来治療抵抗性の閉塞性動脈硬化症患者に限定して、デキストラン硫酸カラム吸着法によるLDLアフェレシス療法を行う。本療法の治療手技は、本療法一回における血漿処理量は3～4リットルとし、血液流量50～100ml/minのうち約30％を血漿流量とするため、一回の治療時間は約2-3時間である。副作用も重篤なものはなく低血圧などであり低侵襲である。原則週1日もしくは2日の頻度で本療法を施行し、1回目開始から3ヶ月以内に1クール10回のスケジュールで施行するものとする。この1クール10回のLDLアフェレシス療法の施行が完了した時点で、プロトコル治療の完了とする。原則初回施行時のみ、入院治療とする。有効性については、(1) 足関節上腕血圧比（ABI）の変化、(2 )VascuQOL (閉塞性動脈硬化症の疾患特異的なQOL評価)の変化、にて検討する。（1）、（2）ともに、(LDLアフェレシス療法10回目終了後1週以内の測定値) - (LDLアフェレシス療法1回目施行前2ヶ月以内の測定値)。なお、プロトコル治療期間（10回1クール）終了3ヶ月後の測定値の変化は副次的評価項目として評価する。
K,20,jRCTb041190076,骨髄由来間葉系細胞による顎骨再生療法　,腫瘍、顎骨骨髄炎、外傷等の疾患による広範囲の顎骨又は歯槽骨欠損（上顎にあっては連続した三分の一顎程度以上の顎骨欠損又は上顎洞若しくは鼻腔への交通が認められる顎骨欠損に限り、下顎にあっては連続した三分の一顎程度以上の歯槽骨欠損又は下顎区域切除以上の顎骨欠損に限り、歯槽骨欠損にあっては歯周疾患及び加齢による骨吸収を除く。）,"顎顔面外傷、顎骨腫瘍摘出術、嚢胞摘出術等による顎骨欠損を有する患者を対象とし、MSCsを培養・分化誘導した骨髄由来間葉系細胞による骨造成を行い、その有効性及び安全性を検討する。以下の手順で臨床試験を実施する。1. 骨髄由来間葉系細胞の調製（間葉系細胞群のみ）2. 多血小板血漿（PRP）の調製3. 試験製剤（対照群：PRP+ヒトトロンビン+塩化カルシウム+β-TCP、間葉系細胞群：骨髄由来間葉系細胞+PRP+ヒトトロンビン+塩化カルシウム+β-TCP）の作製4. 試験製剤を骨欠損又は骨移植部位に移植5. 移植後以下の評価項目を評価する。1）主要評価項目：十分な骨再生が得られた部位の割合2）副次評価項目：
[1] パノラマX線画像及びCT画像による再生骨の高さ
[2] パノラマX線画像及びCT画像による再生骨量率[3] CT画像によるCT値の評価[4] インプラントが埋入出来た割合[5] 移植からインプラントの埋入が実施されるまでの期間[6] インプラント生存率及び生存期間[7] 動揺度[8] 咬合力[9] 組織学的評価3）安全性評価項目[1] 有害事象[2] 口腔内感染[3] 臨床検査値[4] パノラマX線画像及びCT画像による評価（骨形成の異常（腫瘍化等））"
K,21,jRCTs031180083,テモゾロミド用量強化療法　,膠芽腫（初発時の初期治療後に再発又は増悪したものに限る。）,初回再発および増悪膠芽腫に対して、用量強化テモゾロミド療法とその再発後のベバシズマブ療法の優越性を標準治療であるベバシズマブ療法とのランダム化比較試験にて検証する。■ A群（ベバシズマブ療法群）14日（－1日～＋3日以内）を1コースとしてベバシズマブ10 mg/kgをday 1に静脈内点滴注射、中止規準に該当するまで継続する。■ B群（用量強化テモゾロミド、再発後ベバシズマブ療法群）1） 一次治療Day1～7テモゾロミド120 mg/m2/day、1日1回内服投与14日（－1日～＋3日以内）を1コースとして最大48コース繰り返す。*3コース目に増量規準を満たした場合150 mg/m2/dayに増量する。2） 二次治療・一次治療完了後、または原病の増悪以外による一次治療中止後で、増悪を認めない場合は増悪を認めるまで無治療経過観察とする。・一次治療完了後、または原病の増悪以外による一次治療中止後、MRI画像上で再発・増悪が認められた場合、二次治療としてベバシズマブ療法を行う。・ベバシズマブの投与方法は、A群での治療法と同じ投与方法とする。・ただし、再発・増悪後の治療のため、コース開始規準はA群とは異なる。14日（－1日～＋3日以内）を1コースとしてベバシズマブ 10 mg/kgをday 1に静注する。
K,22,jRCTs042180103,ハイパードライヒト乾燥羊膜を用いた外科的再建術　,再発翼状片（増殖組織が角膜輪部を超えるものに限る。）,　翼状片は結膜の下のTenon 嚢の線維芽細胞が異常増殖し、角膜に侵入したために起こる疾患であり、重篤になると不正乱視、矯正視力低下を引き起こす。高齢者、紫外線暴露の多い労働従事者に多く発症するが、原因は明確でなく、予防し難い疾患である。悪性ではなく進行も遅いが、若年において発症した場合には、再発する可能性がきわめて高く、再発例では外見だけでなく眼運動の制限をともなうなど患者のQOLを著しく低下させる可能性が高い。　本法では、従来利用されていた自己結膜や凍結保存羊膜に代わり、切除した再発翼状片の部位にHD羊膜を添付し、Tenon嚢からの再度の結合組織伸展を抑制する。すなわち、再発翼状片基部の結膜、Tenon嚢を剥離し、強膜を露出した後、翼状片を切除する。切除部を0.04％マイトマイシンで処理後、翼状片切除後に露出した強膜上に切除面に相応の形状に成形したHD羊膜を添付する。この際に強膜面を羊膜間質面、結膜面を羊膜上皮面と接着するように装着する。HD羊膜は剥離結膜上皮内に収まるように装着する。　なお、翼状片切除部位の形状に合わせたHD羊膜を添付する点、HD羊膜の上皮面、間質面を考慮して添付することで結合組織の再伸展を抑制する処置を施行可能である。
K,23,jRCTs031180082,FOLFIRINOX療法,胆道がん（切除が不能と判断されたもの又は術後に再発したものに限る。）,本試験は、切除不能または術後再発胆道癌症例を対象として、FOLFIRINOX 療法の有効性と安全性を評価することを目的とする。14 日を1 コースとして、投与する。本療法は腫瘍進行が確認されるか、有害事象により継続困難となるか、奏効が確認され手術を決定するまで反復する。主要評価項目は無増悪生存期間、副次的評価項目は奏効率、全生存期間および安全性とする。本試験には5 施設(予定)が参加し、登録症例数は35 例を予定する。
K,24,,内視鏡下手術用ロボットを用いた腹腔鏡下広汎子宮全摘術,子宮頸がん（FIGOによる臨床進行期分類がIB期以上及びIIB期以下の扁平上皮がん又はFIGOによる臨床進行期分類がIA2期以上及びIIB期以下の腺がんであって、リンパ節転移及び腹腔内臓器に転移していないものに限る。）,手術的には他の開腹手術に比べて出血量が多く、また侵襲性の高い子宮頸癌（但し、FIGOによる臨床進行期IB以上、IIB以下の扁平上皮癌、あるいは臨床進行期IA2以上、IIB以下の腺癌に限る、転移は認めない）の症例を対象に、ロボット支援広汎子宮全摘出術を施行し、従来の開腹術との間で有効性、安全性を比較する。（内視鏡下の子宮広範全摘術は2015年から先進医療Aにて試験開始となったところである）。全身麻酔・二酸化炭素気腹下に腹腔鏡を用いて広汎子宮全摘出術を行う。portの位置、本数、種類、小開腹創の位置は規定せず、「腹腔内の検索」はすべて内視鏡下で行い、「リンパ節郭清および主幹動脈の処理」、「併施手術」は原則すべてロボット支援下にて行う。術中腫瘍の進展により他臓器合併切除が必要となった場合は、ロボット支援下続行か開腹手術に移行するかは手術担当責任医の判断に委ねられ、合併切除を行った場合は切除臓器をCRFに記載する。プロトコル治療完了後は新病変が確認されるまでは後治療を行わない。ただし、術後再発リスク因子を有する症例に関しては、術後再発リスク評価（子宮頸癌の術後再発リスク分類：子宮頸癌治療ガイドライン2011年度版：日本婦人科腫瘍学会）にしたがって後治療を考慮する。また切除断端陽性が確認された場合又は子宮癌以外の疾患であった場合の後治療は規定しない。予定症例数は100例、予定試験期間は6.5年（登録期間：1.5年，追跡期間：5年）である。
K,25,,自家嗅粘膜移植による脊髄再生治療,胸髄損傷（損傷後十二月以上経過してもなお下肢が完全な運動麻痺（米国脊髄損傷教会によるAISがAである患者に係るものに限る。）を呈するものに限る。）,自家嗅粘膜移植では、全身麻酔下に患者自身の鼻腔内に存在する嗅粘膜組織を内視鏡下に摘出する。そして摘出した嗅粘膜を手術室内で洗浄、細切後、脊髄損傷部位に存在する瘢痕組織を摘出して作製した移植床に直ちに移植する。嗅粘膜移植技術には、[1]損傷高位の脊椎を安全に切削し損傷脊髄を露出する、[2]損傷脊髄を顕微鏡下に正確に見極め瘢痕組織を切除する、[3]採取した嗅粘膜を母床に適切に移植する技術が必要である。移植後は少なくとも1年間は週35 時間程度のリハビリテーションを遂行し、軸索再生と新たに獲得された神経回路の維持の為訓練を行っていく。
K,26,,,-,-
K,27,"jRCT1032200036
",重粒子線治療,肝細胞がん（初発のものであって、肝切除術、肝移植術、エタノールの局所注入、マイクロ波凝固法又はラジオ波焼灼療法による治療が困難であり、かつＣｈｉｌｄ―Ｐｕｇｈ分類による点数が七点未満のものに限る。）,　本試験では、切除不能かつ穿刺局所療法不適の肝細胞癌のうち、初発、単発、腫瘍径12cm 以下、門脈および胆管一次分枝もしくは下大静脈への浸潤がない、肝機能がChild Aの患者を対象とする。重粒子線治療は、重粒子線照射装置を用いて1日1回行う。 1回15.0Gy(RBE)、合計4 回、総線量60.0Gy(RBE)（週4回法）。ただし、門脈一次分枝、門脈本幹、消化管の少なくとも1つと主病変との距離が10mm以下の場合は、1回5.0Gy(RBE)、合計12回、総線量60.0Gy(RBE)（週4 回法）の線量分割を用いることも許容する。本研究では、多施設共同臨床試験で重粒子線治療の有効性および安全性の評価を目指す。主要評価項目は3年全生存割合、副次的評価項目は、3年無増悪生存割合、3年局所無増悪生存割合、有害事象発生割合、放射線肝障害（Radiation induced liverdisease；RILD）の発生割合である。有害事象の評価基準には、「有害事象共通用語規準ver4.03日本語訳JCOG/JSCO版」を用いる。探索的解析として、EQ-5D-5L(EuroQol 5Dimension five-level)を用いた費用対効果評価、QOL評価を行う。予定症例数は130例である。
K,28,,重粒子線治療　,非小細胞肺がん（ステージがI期であって、肺の末梢に位置するものであり、かつ肺切除術が困難なものに限る。）,　医用重粒子加速器および照射装置を用い、1日1回15.0GyE、計4回、総線量60.0GyEの重粒子線治療を行う。照射法は1日2門以上、総照射門数4門以上の呼吸同期照射、治療期間は15日以内とする。有効性の評価は、主要評価指標として3年全生存割合を用いる。副次的評価指標として全生存期間中央値、全生存割合（2年）、疾患特異的生存割合（2年および3年）、無増悪生存割合（2年および3年）、局所無増悪生存割合（2年および3年）、増悪形式を用いる。また、安全性の評価は、副次的評価指標として有害事象発生割合を用いる。また、探索的評価として、医療経済評価（費用調査、QOL調査、費用効果分析）も行う。有害事象の評価には、「National Cancer Institute-Common Terminology Criteria for Adverse Events (CTCAE version 4.0)」を用いる。 本研究では、多施設共同で肺野末梢型Ｉ期非小細胞肺癌患者に対する重粒子線治療の有効性および安全性の評価を目指すものである。
K,29,jRCT1031190131,ゲムシタビン静脈内投与及び重粒子線治療の併用療法,膵臓がん（遠隔転移しておらず、かつ、ＴＮＭ分類がＴ4のものに限る。）,　治療法は、炭素イオン線治療は各実施医療機関に設置された医用重粒子加速器および照射装置を用い、1日1回4.6Gy(RBE)、合計12回、総線量55.2Gy(RBE)【週4回法】を照射する。ただし、週4回以内を原則とし、週5回以上の照射は許容されない。重粒子線治療開始と同時に、ゲムシタビン(GEM)治療を開始する。GEMは1回1000mg/m2を30分かけて点滴静注し、週1回投与を3週連続し、4週目は休薬する。有効性の評価は、主要評価指標として2年生存率を用いる。副次的評価指標として[1]局所制御期間[2]無増悪生存期間を用いる。また安全性の評価としては、正常組織の照射に伴う反応を、早期（照射開始後3ヶ月以内）と、遅発性（3ヶ月以降）に分けて評価する。評価には、「NationalCancer Institute-Common Terminology Criteria for Adverse Events(version 4.0)」を用いる。本試験では、多施設共同でその治療効果および安全性の評価を目指すものである。
K,30,jRCTs031180095,ゲムシタビン静脈内投与、ナブ―パクリタキセル静脈内投与及びパクリタキセル腹腔内投与の併用療法,腹膜播種を伴う膵臓がん,　腹膜播種を伴う膵癌症例を対象として、ゲムシタビン/ナブ-パクリタキセル点滴静注+PTX 腹腔内投与併用療法を施行し、導入相試験にて推奨投与量の決定と安全性の確認をし、探索相試験にて有効性および安全性の評価を行うことを目的とする。探索相試験の主要評価項目は全生存期間、副次評価項目は抗腫瘍効果（奏効率・病勢制御率）、安全性、無増悪生存期間、投与完遂性、腹水細胞診陰性化率とし、登録症例数は導入相試験で推奨投与量に決定されたコホートを含む35例とする。
